Tresasury,Date,Price,,Corporate,Date,Price,,,10year,Date,Price,,index,Date,Price,,ER,Date,Open,Close,Mean,,GDP,100 million yuan,CPI,,,,M1,,
,Jan 20,178.15,,,Jan 20,203.71,25.56,25.56,,Jan 20,3.05,3.05,,Jan 20,2976.53,2976.53,,2015-01-01,6.1961,6.241,6.21855,6.23365,,165484.7,,100.8,101.2,,,1194249.24,1197933.243
,Dec 19,177.27,,,Dec 19,202.88,25.61,25.75666667,,Dec 19,3.173,3.215333333,,Dec 19,3050.12,2950.39,,2015-02-01,6.25078,6.2495,6.25014,,,180828.9,,101.4,,,,1197499.08,
,Nov 19,176.45,,,Nov 19,202.26,25.81,,,Nov 19,3.192,,,Nov 19,2871.98,,,2015-03-01,6.26802,6.1965,6.23226,,,151137.9,,101.4,,,,1202051.41,
,Oct 19,175.76,,,Oct 19,201.61,25.85,,,Oct 19,3.281,,,Oct 19,2929.06,,,2015-04-01,6.1875,6.1902,6.18885,6.191166667,,168549.7,,101.5,101.3666667,,,1199236.31,1212072.357
,Sep 19,175.53,,,Sep 19,200.75,25.22,24.93,,Sep 19,3.155,3.135333333,,Sep 19,2905.19,2907.98,,2015-05-01,6.191,6.1912,6.1911,,,176597.7,,101.2,,,,1208605.95,
,Aug 19,174.98,,,Aug 19,199.82,24.84,,,Aug 19,3.068,,,Aug 19,2886.24,,,2015-06-01,6.1883,6.1988,6.19355,,,192572.9,,101.4,,,,1228374.81,
,Jul 19,174.02,,,Jul 19,198.75,24.73,,,Jul 19,3.183,,,Jul 19,2932.51,,,2015-07-01,6.191,6.1997,6.19535,6.2815,,162410,,101.6,101.7333333,,,1242710.22,1258474.493
,Jun 19,173.31,,,Jun 19,197.81,24.5,24.36666667,,Jun 19,3.279,3.330666667,,Jun 19,2978.88,2985.31,,2015-08-01,6.1998,6.3785,6.28915,,,181408.2,,102,,,,1257380.48,
,May 19,172.56,,,May 19,197.01,24.45,,,May 19,3.297,,,May 19,2898.7,,,2015-09-01,6.3664,6.3536,6.36,,,191010.6,,101.6,,,,1275332.78,
,Apr 19,172.02,,,Apr 19,196.17,24.15,,,Apr 19,3.416,,,Apr 19,3078.34,,,2015-10-01,6.3471,6.31872,6.33291,6.371386667,,211566.2,,101.3,101.4666667,,,1280779.14,1294068.385
,Mar 19,172.02,,,Mar 19,195.41,23.39,23.07666667,,Mar 19,3.075,3.137666667,,Mar 19,3090.76,2872.09,,2015-11-01,6.3081,6.385,6.34655,,,181867.7,,101.5,,,,1307357.63,
,Feb 19,171.42,,,Feb 19,194.61,23.19,,,Feb 19,3.208,,,Feb 19,2940.95,,,2015-12-01,6.3882,6.4812,6.4347,,,201950.3,,101.6,,,,"	1333375.36",
,Jan 19,170.96,,,Jan 19,193.61,22.65,,,Jan 19,3.13,,,Jan 19,2584.57,,,2016-01-01,6.4837,6.6072,6.54545,6.531083333,,212789.3,,101.8,102.1333333,,,1353210.92,1356647.653
,Dec 18,169.88,,,Dec 18,192.36,22.48,22.57666667,,Dec 18,3.27,3.400333333,,Dec 18,2493.9,2561.62,,2016-02-01,6.5661,6.5304,6.54825,,,235428.7,,102.3,,,,1356907.98,
,Nov 18,168.69,,,Nov 18,191.44,22.75,,,Nov 18,3.398,,,Nov 18,2588.19,,,2016-03-01,6.544,6.4551,6.49955,,,202035.7,,102.3,,,,1359824.06,
,Oct 18,167.64,,,Oct 18,190.14,22.5,,,Oct 18,3.533,,,Oct 18,2602.78,,,2016-04-01,6.439,6.4641,6.45155,6.525255,,223962.2,,102.3,102.0666667,,,"1361020.70	",1383117.06
,Sep 18,166.92,,,Sep 18,189.24,22.32,21.53,,Sep 18,3.655,3.596,,Sep 18,2821.35,2807.67,,2016-05-01,6.47543,6.5733,6.524365,,,234474.3,,102,,,,1373956.01,
,Aug 18,166.6,,,Aug 18,188.34,21.74,,,Aug 18,3.6,,,Aug 18,2725.25,,,2016-06-01,6.5729,6.6268,6.59985,,,258808.9,,101.9,,,,1392278.11,
